game_date,home_team,away_team,actual_margin,home_weighted_margin,away_weighted_margin,home_weighted_win_pct,away_weighted_win_pct,home_recent_10_win_pct,away_recent_10_win_pct,home_weighted_points_for,away_weighted_points_for,home_weighted_points_against,away_weighted_points_against,home_weighted_point_diff,away_weighted_point_diff,home_recent_margin_3,home_recent_margin_5,home_recent_margin_10,away_recent_margin_3,away_recent_margin_5,away_recent_margin_10,home_recent_win_pct_3,home_recent_win_pct_5,away_recent_win_pct_3,away_recent_win_pct_5,home_recent_points_for_5,home_recent_points_against_5,away_recent_points_for_5,away_recent_points_against_5,home_blown_rate_10,away_blown_rate_10,home_clutch_margin_10,away_clutch_margin_10,home_max_lead_10,away_max_lead_10,home_h2h_margin_avg,home_h2h_win_pct,h2h_games_played,rest_diff,home_b2b,away_b2b,home_games_played,away_games_played,market_spread
2026-01-30,Dallas Mavericks,Charlotte Hornets,-2,1.3378022013779332,7.555301893880754,0.4676769445714879,0.5580397045080492,0.5,0.7,115.89245076157178,116.77043950304463,115.9382363188172,108.98756603983033,-0.04578555724542355,7.782873463214301,-3.6666666666666665,4.8,2.5,18.666666666666668,15.2,14.4,0.3333333333333333,0.6,1.0,0.8,118.0,113.2,114.4,99.2,0.1,0.0,-1.2,-0.4,14.5,23.6,0.0,0.0,0.0,0,0.0,0.0,47.0,48.0,-3.5
2026-01-31,Golden State Warriors,Detroit Pistons,-7,7.0860964913379485,2.435878450726148,0.5868768910912668,0.692124247406182,0.6,0.7,118.39002120989242,113.98404701429384,113.9813140220308,107.55238890443846,4.408707187861623,6.431658109855377,5.666666666666667,-1.8,5.6,2.3333333333333335,1.6,6.4,0.6666666666666666,0.4,0.6666666666666666,0.6,115.2,117.0,112.0,110.4,0.1,0.1,0.7,-0.5,17.0,16.5,0.0,0.0,0.0,1,0.0,0.0,48.0,46.0,2.5
2026-01-31,Boston Celtics,Sacramento Kings,19,5.188886856351668,-14.894780980793799,0.6083764937209363,0.2287131937299506,0.5,0.3,115.5027236212488,109.83654649206059,109.66268550631179,118.84512209905353,5.840038114937016,-9.008575606992935,-2.0,2.6,3.6,-13.666666666666666,-11.8,-4.3,0.3333333333333333,0.6,0.0,0.0,113.6,111.0,108.2,120.0,0.0,0.2,-1.3,-2.4,14.2,11.1,14.0,1.0,1.0,1,0.0,0.0,47.0,49.0,0.0
2026-01-31,Denver Nuggets,LA Clippers,13,0.5688383961546445,-2.6480137229471765,0.6265147014591953,0.6809897298505441,0.7,0.9,113.70392702939998,113.96332425264772,113.06349166632978,109.57837191210473,0.6404353630701962,4.384952340542995,1.3333333333333333,1.2,0.8,19.0,6.6,8.1,0.6666666666666666,0.6,1.0,0.8,106.0,104.8,114.6,108.0,0.1,0.0,0.6,1.3,12.8,17.2,14.0,1.0,1.0,-2,0.0,0.0,48.0,46.0,7.5
2026-01-31,Washington Wizards,Los Angeles Lakers,-31,-5.34663789741874,-4.342485818907794,0.32305249789900536,0.5368745414622619,0.2,0.5,111.04490456781184,114.22503573240239,117.73366235573708,116.39733674107475,-6.6887577879252405,-2.1723010086723633,3.3333333333333335,-0.8,-7.7,-4.333333333333333,-2.6,-1.7,0.6666666666666666,0.4,0.6666666666666666,0.6,108.4,109.2,112.6,115.2,0.1,0.2,0.2,2.6,6.3,13.7,0.0,0.0,0.0,-1,0.0,0.0,46.0,45.0,-10.5
2026-01-31,Utah Jazz,Brooklyn Nets,-10,-10.604430564438887,-11.201811811915478,0.24148240990261527,0.20623016438835232,0.2,0.1,117.7848455488682,105.29002776058633,129.43661908133706,114.3452024302992,-11.651773532468852,-9.05517466971287,-19.666666666666668,-14.2,-11.5,-15.0,-20.6,-14.2,0.0,0.2,0.0,0.0,115.8,130.0,97.2,117.8,0.1,0.2,1.3,-2.5,6.2,6.3,13.0,1.0,1.0,1,0.0,0.0,48.0,46.0,3.5
2026-01-31,New Orleans Pelicans,Memphis Grizzlies,8,-3.693241239663809,-3.637476057584773,0.30489891592576845,0.33303923652617834,0.4,0.3,113.9036846660644,114.14939536860568,118.31765981783118,116.08450111860667,-4.413975151766792,-1.9351057500009858,2.0,-2.2,-1.1,-10.0,-3.0,-3.6,0.6666666666666666,0.4,0.0,0.2,109.2,111.4,114.2,117.2,0.2,0.5,1.4,-2.0,9.3,13.8,-1.6666666666666667,0.3333333333333333,3.0,1,0.0,0.0,49.0,45.0,-6.5
2026-01-31,New York Knicks,Portland Trail Blazers,30,8.711841148942343,-5.056418736832496,0.5795575230138157,0.5138044102238047,0.5,0.5,113.90565339496719,113.05892394393406,109.21084703875204,113.65503606496397,4.694806356215153,-0.5961121210299041,15.333333333333334,16.6,5.6,-8.0,0.0,0.7,1.0,0.8,0.0,0.4,110.2,93.6,109.4,109.4,0.2,0.0,3.3,0.5,16.7,9.3,9.0,1.0,1.0,-1,0.0,0.0,48.0,48.0,0.0
2026-01-31,Orlando Magic,Toronto Raptors,10,-1.3861768959876426,2.8849600740758987,0.46904267646111475,0.5914852280109508,0.4,0.6,113.1374044489834,111.45292511602004,116.77892445951335,111.12755081237046,-3.641520010529945,0.325374303649582,-7.0,-13.0,-6.7,-4.333333333333333,3.6,-0.1,0.3333333333333333,0.2,0.6666666666666666,0.8,108.4,121.4,114.4,110.8,0.1,0.2,-2.0,2.1,8.7,14.9,-1.0,0.0,1.0,0,0.0,0.0,46.0,49.0,4.5
2026-01-31,Phoenix Suns,Cleveland Cavaliers,13,7.328658516221226,3.870229810870925,0.6337835808620753,0.6742042228105256,0.6,0.8,112.09147584576148,118.83505508798953,108.34527489059298,113.97648429880293,3.7462009551685043,4.858570789186601,4.333333333333333,2.4,3.8,20.0,14.4,6.9,0.6666666666666666,0.6,1.0,1.0,108.2,105.8,115.8,101.4,0.1,0.1,0.0,-1.5,14.3,17.1,-16.0,0.0,1.0,-1,0.0,0.0,48.0,49.0,2.5
